index,value
711506,108.89999389648438
711507,108.89999389648438
711509,108.89999389648438
711511,111.89999389648438
711512,111.89999389648438
711513,111.89999389648438
711514,111.89999389648438
711515,59.5
711516,111.89999389648438
711517,59.5
711518,59.5
711519,59.5
711521,108.89999389648438
711523,59.5
711524,108.89999389648438
711525,108.89999389648438
711526,108.89999389648438
711527,59.5
711528,108.89999389648438
711529,59.5
711530,108.89999389648438
711531,108.89999389648438
711532,108.89999389648438
711533,108.89999389648438
711534,108.89999389648438
711535,59.5
711701,59.5
711702,59.5
711703,59.5
711704,59.5
711705,59.5
711706,59.5
711707,59.5
711708,59.5
711709,59.5
711710,59.5
711711,59.5
711712,59.5
711713,59.5
711714,59.5
711715,59.5
711716,59.5
711717,59.5
711718,59.5
711719,59.5
711720,59.5
711721,59.5
711722,59.5
711723,59.5
711724,59.5
711725,59.5
711726,59.5
711727,59.5
711728,59.5
711729,59.5
711730,59.5
711731,59.5
711732,59.5
712001,59.5
712002,59.5
712004,59.5
712006,59.5
712008,59.5
712009,59.5
712011,59.5
712012,59.5
712013,59.5
712014,59.5
712015,59.5
712016,59.5
712017,59.5
712018,59.5
712020,59.5
712021,59.5
712022,59.5
712023,59.5
712024,59.5
712025,59.5
712026,59.5
712027,59.5
712028,59.5
712029,59.5
712030,59.5
712032,59.5
712033,59.5
712034,59.5
712035,59.5
712036,59.5
712037,59.5
712038,59.5
712039,59.5
712040,59.5
712041,59.5
712042,59.5
712043,59.5
712044,59.5
712045,59.5
712046,59.5
712047,59.5
712301,67.9000015258789
712302,67.9000015258789
712303,67.9000015258789
712304,67.9000015258789
712305,67.9000015258789
712306,67.9000015258789
712307,67.9000015258789
712308,67.9000015258789
712309,67.9000015258789
712310,67.9000015258789
712311,67.9000015258789
712312,67.9000015258789
712313,67.9000015258789
712314,67.9000015258789
712315,67.9000015258789
712316,67.9000015258789
712317,67.9000015258789
712318,67.9000015258789
712319,67.9000015258789
712320,67.9000015258789
712321,67.9000015258789
712322,67.9000015258789
712323,67.9000015258789
712324,67.9000015258789
712325,67.9000015258789
712326,67.9000015258789
712327,67.9000015258789
712328,67.9000015258789
712329,67.9000015258789
712330,67.9000015258789
712331,67.9000015258789
712332,67.9000015258789
712333,67.9000015258789
712334,67.9000015258789
712335,67.9000015258789
712336,67.9000015258789
712337,67.9000015258789
712338,67.9000015258789
712339,67.9000015258789
712341,67.9000015258789
712342,67.9000015258789
712343,67.9000015258789
712344,67.9000015258789
712501,67.9000015258789
712502,67.9000015258789
712503,67.9000015258789
712504,67.9000015258789
712505,67.9000015258789
712506,67.9000015258789
712507,67.9000015258789
712508,67.9000015258789
712509,67.9000015258789
712510,67.9000015258789
712512,67.9000015258789
712513,67.9000015258789
712514,67.9000015258789
712515,67.9000015258789
712516,67.9000015258789
712517,67.9000015258789
712518,67.9000015258789
712519,67.9000015258789
712520,67.9000015258789
712521,67.9000015258789
712522,67.9000015258789
712523,67.9000015258789
712601,59.5
712602,59.5
712603,59.5
712604,59.5
712605,59.5
712606,46.0
712607,46.0
712608,46.0
712609,46.0
712610,46.0
712611,46.0
712612,46.0
712613,46.0
712614,46.0
712615,46.0
712616,46.0
712617,46.0
712618,46.0
712619,46.0
712620,46.0
712621,46.0
712622,46.0
712624,46.0
712627,46.0
712628,46.0
712629,46.0
712630,46.0
712631,46.0
712632,46.0
712633,46.0
712634,46.0
712635,46.0
712636,46.0
712637,46.0
712638,46.0
712640,59.5
712641,46.0
712642,46.0
712643,46.0
712644,46.0
712645,46.0
712646,46.0
712647,46.0
712651,46.0
712701,46.0
712702,46.0
712703,46.0
712704,46.0
712705,46.0
712706,46.0
712707,46.0
712708,46.0
712709,46.0
712710,46.0
712711,46.0
712712,46.0
712713,46.0
712714,46.0
712715,46.0
712716,46.0
712718,46.0
712719,46.0
712720,46.0
712721,46.0
712722,46.0
712723,46.0
712724,46.0
712725,46.0
712726,46.0
712727,46.0
712728,46.0
712729,46.0
712730,46.0
712731,46.0
712732,46.0
712733,46.0
712734,46.0
712735,46.0
712736,46.0
712737,46.0
712738,46.0
712740,46.0
712741,46.0
712742,46.0
712743,46.0
712744,46.0
712745,46.0
712746,46.0
712747,46.0
712748,46.0
712749,46.0
712750,46.0
712751,46.0
712752,46.0
712753,46.0
712754,46.0
712755,46.0
712801,46.0
